sentence,entity,generated text
"In particular , we make extensive use of Pustejovsky 's principles concerning the predicative information associated with nominals .","[(""Pustejovsky 's principles"", 'Method'), ('predicative information', 'OtherScientificTerm'), ('nominals', 'OtherScientificTerm')]"," nominals(Generic), Pustejovsky 's principles concerning the predicative information associated with nominals(Method),"
We argue that it is necessary to draw a line between generalizable semantic principles and domain-specific semantic information .,"[('generalizable semantic principles', 'OtherScientificTerm'), ('domain-specific semantic information', 'OtherScientificTerm')]"," line between generalizable semantic principles and domain-specific semantic information(OtherScientificTerm),"
"We explain this distinction and we show how this model may be applied to the interpretation of compounds in real texts , provided that complementary semantic information are retrieved .","[('model', 'Generic'), ('interpretation of compounds', 'Task'), ('semantic information', 'OtherScientificTerm')]"," compound(Generic), complementary semantic information(Generic), real texts(Generic), interpretation(Method),"
We present a new method for detecting interest points using histogram information .,"[('method', 'Generic'), ('detecting interest points', 'Task'), ('histogram information', 'OtherScientificTerm')]"," histogram information(Method), interest points(Task),"
"Unlike existing interest point detectors , which measure pixel-wise differences in image intensity , our detectors incorporate histogram-based representations , and thus can find image regions that present a distinct distribution in the neighborhood .","[('interest point detectors', 'Method'), ('pixel-wise differences in image intensity', 'Metric'), ('detectors', 'Generic'), ('histogram-based representations', 'Method')]"," histogram-based representations(Method), pixel-wise differences in image intensity(Method), interest point detectors(Method),"
"The proposed detectors are able to capture large-scale structures and distinctive textured patterns , and exhibit strong invariance to rotation , illumination variation , and blur .","[('detectors', 'Generic'), ('large-scale structures', 'OtherScientificTerm'), ('distinctive textured patterns', 'OtherScientificTerm'), ('rotation', 'OtherScientificTerm'), ('illumination variation', 'OtherScientificTerm'), ('blur', 'OtherScientificTerm')]"," large-scale structures(OtherScientificTerm), distinctive textured patterns(OtherScientificTerm), rotation(OtherScientificTerm), illumination variation(OtherScientificTerm), blur(OtherScientificTerm)"
"The experimental results show that the proposed histogram-based interest point detectors perform particularly well for the tasks of matching textured scenes under blur and illumination changes , in terms of repeatability and distinctiveness .","[('histogram-based interest point detectors', 'Method'), ('matching textured scenes', 'Task'), ('blur and illumination changes', 'OtherScientificTerm'), ('repeatability', 'Metric'), ('distinctiveness', 'Metric')]"," histogram-based interest point detectors(Method), task of matching textured scenes under blur and illumination changes(Task), repeatability and distinctiveness(OtherScientificTerm), 
"
An extension of our method to space-time interest point detection for action classification is also presented .,"[('method', 'Generic'), ('space-time interest point detection', 'Task'), ('action classification', 'Task')]"," action classification(Task), space-time interest point detection for action classification(Task), extension of our method to space-time interest point detection for action classification(Method), 
"
We have implemented a restricted domain parser called Plume .,"[('restricted domain parser', 'Method'), ('Plume', 'Method')]"," restricted domain parser(Method), Plume(Method)"
"Building on previous work at Carnegie-Mellon University e.g. -LSB- 4 , 5 , 8 -RSB- , Plume 's approach to parsing is based on semantic caseframe instantiation .","[(""Plume 's approach"", 'Method'), ('parsing', 'Task'), ('semantic caseframe instantiation', 'OtherScientificTerm')]"," Semantic caseframe instantiation(Method), parsing(Task), 

Description:

The above description is a list of named entities. These entities are English(Material), coordinations(OtherScientificTerm), strictly syntactic cross-serial agreement(OtherScientificTerm), and semantic caseframe instantiation(Method)."
"This has the advantages of efficiency on grammatical input , and robustness in the face of ungrammatical input .","[('grammatical input', 'OtherScientificTerm'), ('robustness', 'Metric'), ('ungrammatical input', 'OtherScientificTerm')]"," efficiency(Method), robustness(Method), grammatical input(OtherScientificTerm),"
"While Plume is well adapted to simple declarative and imperative utterances , it handles passives , relative clauses and interrogatives in an ad hoc manner leading to patchy syntactic coverage .","[('Plume', 'Method'), ('declarative and imperative utterances', 'Material'), ('it', 'Generic'), ('passives', 'OtherScientificTerm'), ('relative clauses', 'OtherScientificTerm'), ('interrogatives', 'OtherScientificTerm'), ('patchy syntactic coverage', 'OtherScientificTerm')]"," declarative and imperative utterances(Task), passives(Task), relative clauses(Task), interrogatives(Task), syntactic coverage(Method), Plume(Software), ad hoc manner(OtherScientificTerm)"
"This paper outlines Plume as it currently exists and describes our detailed design for extending Plume to handle passives , relative clauses , and interrogatives in a general manner .","[('Plume', 'Method'), ('it', 'Generic'), ('Plume', 'Method'), ('passives', 'OtherScientificTerm'), ('relative clauses', 'OtherScientificTerm'), ('interrogatives', 'OtherScientificTerm')]"," Plume(Generic), detailed design(Method), passives(Task), relative clauses(Task), interrogatives(Task), 
"
"In this paper , we present an unlexicalized parser for German which employs smoothing and suffix analysis to achieve a labelled bracket F-score of 76.2 , higher than previously reported results on the NEGRA corpus .","[('unlexicalized parser', 'Method'), ('German', 'Material'), ('smoothing', 'Method'), ('suffix analysis', 'Method'), ('labelled bracket F-score', 'Metric'), ('NEGRA corpus', 'Material')]"," German(Language), parser(Method), labelled bracket F-score(Measure), previously reported results on the NEGRA corpus(OtherScientificTerm),"
"In addition to the high accuracy of the model , the use of smoothing in an unlexicalized parser allows us to better examine the interplay between smoothing and parsing results .","[('accuracy', 'Metric'), ('model', 'Generic'), ('smoothing', 'Method'), ('unlexicalized parser', 'Method'), ('smoothing', 'Method'), ('parsing', 'Method')]"," unlexicalized parser(Method), high accuracy of the model(Feature), smoothing in an unlexicalized parser(Method), interplay between smoothing and parsing results(OtherScientificTerm)"
This paper presents an unsupervised learning approach to disambiguate various relations between named entities by use of various lexical and syntactic features from the contexts .,"[('unsupervised learning approach', 'Method'), ('relations between named entities', 'OtherScientificTerm'), ('lexical and syntactic features', 'OtherScientificTerm')]"," Disambiguating relations between named entities(Task), lexical and syntactic features(Method), named entities(Material), "
It works by calculating eigenvectors of an adjacency graph 's Laplacian to recover a submanifold of data from a high dimensionality space and then performing cluster number estimation on the eigenvectors .,"[('It', 'Generic'), ('eigenvectors', 'OtherScientificTerm'), (""adjacency graph 's Laplacian"", 'OtherScientificTerm'), ('submanifold', 'OtherScientificTerm'), ('high dimensionality space', 'OtherScientificTerm'), ('cluster number estimation', 'Task'), ('eigenvectors', 'OtherScientificTerm')]"," submanifold of data(Method), cluster number estimation(Method), adjacency graph(Method), Laplacian(Method), 
"
Experiment results on ACE corpora show that this spectral clustering based approach outperforms the other clustering methods .,"[('ACE corpora', 'Material'), ('spectral clustering based approach', 'Method'), ('clustering methods', 'Method')]"," spectral clustering based approach(Method), ACE corpora(Dataset), other clustering methods(Method),"
"This paper proposes a generic mathematical formalism for the combination of various structures : strings , trees , dags , graphs , and products of them .","[('mathematical formalism', 'Method'), ('structures', 'Generic'), ('strings', 'OtherScientificTerm'), ('trees', 'OtherScientificTerm'), ('dags', 'OtherScientificTerm'), ('graphs', 'OtherScientificTerm'), ('them', 'Generic')]"," structures(Generic), strings(Generic), trees(Generic), dags(Generic), graphs(Generic), products of them(Generic)"
The polarization of the objects of the elementary structures controls the saturation of the final structure .,"[('polarization', 'OtherScientificTerm'), ('elementary structures', 'OtherScientificTerm')]"," elementary structures(Generic), polarization of the objects of the(Generic), saturation of the final structure(Generic),"
"This formalism is both elementary and powerful enough to strongly simulate many grammar formalisms , such as rewriting systems , dependency grammars , TAG , HPSG and LFG .","[('formalism', 'Generic'), ('grammar formalisms', 'Method'), ('rewriting systems', 'Method'), ('dependency grammars', 'Method'), ('TAG', 'OtherScientificTerm'), ('HPSG', 'OtherScientificTerm'), ('LFG', 'OtherScientificTerm')]"," rewriting systems(Method), dependency grammars(Method), TAG(Method), HPSG(Method), LFG(Method)"
"A mixed-signal paradigm is presented for high-resolution parallel inner-product computation in very high dimensions , suitable for efficient implementation of kernels in image processing .","[('mixed-signal paradigm', 'Method'), ('high-resolution parallel inner-product computation', 'Task'), ('kernels', 'Method'), ('image processing', 'Task')]"," mixed-signal paradigm(Method), high-resolution parallel inner-product computation(Task), image processing(Method), kernels(Method), very high dimensions(OtherScientificTerm),"
"At the core of the externally digital architecture is a high-density , low-power analog array performing binary-binary partial matrix-vector multiplication .","[('externally digital architecture', 'Method'), ('high-density , low-power analog array', 'OtherScientificTerm'), ('binary-binary partial matrix-vector multiplication', 'Method')]"," binary-binary partial matrix-vector multiplication(Method), high-density , low-power analog array(OtherScientificTerm), core(OtherScientificTerm), externally digital architecture(Task),"
"Full digital resolution is maintained even with low-resolution analog-to-digital conversion , owing to random statistics in the analog summation of binary products .","[('Full digital resolution', 'Metric'), ('low-resolution analog-to-digital conversion', 'Method'), ('random statistics', 'OtherScientificTerm'), ('analog summation of binary products', 'OtherScientificTerm')]"," analog-to-digital conversion(Method), random statistics(Method), full digital resolution(Method), low-resolution analog-to-digital conversion(Method), 
"
A random modulation scheme produces near-Bernoulli statistics even for highly correlated inputs .,"[('random modulation scheme', 'Method'), ('near-Bernoulli statistics', 'OtherScientificTerm'), ('highly correlated inputs', 'Material')]"," near-Bernoulli statistics(Generic), random modulation scheme(Method), highly correlated inputs(Generic),"
"The approach is validated with real image data , and with experimental results from a CID/DRAM analog array prototype in 0.5 cents m CMOS .","[('approach', 'Generic'), ('real image data', 'Material'), ('CID/DRAM analog array prototype', 'OtherScientificTerm')]"," image data(Data), experimental results(Data), CID/DRAM analog array prototype(OtherScientificTerm), 0.5 cents m CMOS(Unit),"
"In this paper we specialize the projective unifocal , bifo-cal , and trifocal tensors to the affine case , and show how the tensors obtained relate to the registered tensors encountered in previous work .","[('projective unifocal , bifo-cal , and trifocal tensors', 'Method'), ('affine case', 'OtherScientificTerm'), ('tensors', 'Generic'), ('registered tensors', 'OtherScientificTerm')]"," Projective unifocal(Method), bifo-cal(Method), trifocal tensors(Method), affine case(OtherScientificTerm), registered tensors(OtherScientificTerm),"
This enables us to obtain an affine specialization of known projective relations connecting points and lines across two or three views .,"[('affine specialization', 'OtherScientificTerm')]"," affine specialization(Method), points(OtherScientificTerm), lines(OtherScientificTerm), projective relations(Method), two or three views(OtherScientificTerm)"
"In the simpler case of affine cameras we give neccessary and sufficient constraints on the components of the trifocal tensor , together with a simple geometric interpretation .","[('affine cameras', 'Method'), ('trifocal tensor', 'Method'), ('geometric interpretation', 'OtherScientificTerm')]"," affine cameras(Method), trifocal tensor(Method), components(Generic), geometric interpretation(Generic), necessary and sufficient constraints(Generic),"
"Finally , we show how the estimation of the tensors from point correspondences is achieved through factorization , and discuss the estimation from line correspondences .","[('estimation of the tensors', 'Task'), ('tensors', 'Generic'), ('point correspondences', 'OtherScientificTerm'), ('factorization', 'Method'), ('estimation', 'Generic'), ('line correspondences', 'OtherScientificTerm')]"," estimation(Method), factorization(Method), line correspondences(OtherScientificTerm), tensors(Method), point correspondences(OtherScientificTerm)"
"In Thai language , it frequently happens that there is fluctuation in the choice of classifier for a given concrete noun , both from the point of view of the whole speech community and individual speakers .","[('Thai language', 'Material'), ('classifier', 'Method')]"," Thai language(Generic), classifier(Generic), choice of classifier(Generic), from the point of view of the whole speech community(Generic), individual speakers(Generic), fluctuation in the choice of classifier(Generic),"
"Basically , there is no exact rule for classifier selection .","[('classifier selection', 'Task')]"," classifier selection(Method), rule for classifier selection(Generic),"
As far as we can do in the rule-based approach is to give a default rule to pick up a corresponding classifier of each noun .,"[('rule-based approach', 'Method'), ('classifier', 'Method')]"," noun classifier(Method), rule-based approach(Method), corresponding classifier(Method), 
"
Registration of classifier for each noun is limited to the type of unit classifier because other types are open due to the meaning of representation .,"[('classifier', 'Method'), ('type of unit classifier', 'OtherScientificTerm')]"," noun classifier(Method), type of unit classifier(Method), representation(Method), registered classifier(Method), limited to the type of unit classifier(OtherScientificTerm)"
"We propose a corpus-based method -LRB- Biber ,1993 ; Nagao ,1993 ; Smadja ,1993 -RRB- which generates Noun Classifier Associations -LRB- NCA -RRB- to overcome the problems in classifier assignment and semantic construction of noun phrase .","[('corpus-based method', 'Method'), ('Noun Classifier Associations -LRB- NCA -RRB-', 'Method'), ('classifier assignment', 'Task'), ('semantic construction of noun phrase', 'Task')]"," Noun Classifier Associations (Method), corpus-based method(Task), classifier assignment(Task), semantic construction of noun phrase(Method), Nagao(Method), Smadja(Method)."
The NCA is created statistically from a large corpus and recomposed under concept hierarchy constraints and frequency of occurrences .,"[('NCA', 'Method'), ('concept hierarchy constraints', 'OtherScientificTerm'), ('frequency of occurrences', 'OtherScientificTerm')]"," corpus(Resource), concept hierarchy constraints(Constraint), frequency of occurrences(OtherScientificTerm)"
The perception of transparent objects from images is known to be a very hard problem in vision .,"[('perception of transparent objects', 'Task'), ('images', 'Material')]"," perception of transparent objects from images(Task), hard problem in vision(Task), transparent objects(Material)"
"Given a single image , it is difficult to even detect the presence of transparent objects in the scene .","[('transparent objects', 'OtherScientificTerm')]"," transparent objects(Generic), detection(Method), image(Generic),"
"In this paper , we explore what can be said about transparent objects by a moving observer .","[('transparent objects', 'OtherScientificTerm')]"," observer(OtherScientificTerm), moving(OtherScientificTerm), what can be said about transparent objects by a moving observer(Task), transparent objects(Method),"
We show how features that are imaged through a transparent object behave differently from those that are rigidly attached to the scene .,"[('features', 'OtherScientificTerm'), ('transparent object', 'OtherScientificTerm'), ('those', 'Generic')]"," transparent object(Generic), features(Method), rigidly attached to the scene(Generic), imaged through(Generic),"
We present a novel model-based approach to recover the shapes and the poses of transparent objects from known motion .,"[('model-based approach', 'Method'), ('shapes and the poses of transparent objects', 'OtherScientificTerm'), ('known motion', 'OtherScientificTerm')]"," transparent objects(Generic), motion(Method), model-based approach(Method), shapes(Generic), poses(Generic), 
"
The objects can be complex in that they may be composed of multiple layers with different refractive indices .,"[('objects', 'Generic'), ('they', 'Generic'), ('multiple layers', 'OtherScientificTerm'), ('refractive indices', 'OtherScientificTerm')]"," layers(Material), refractive indices(OtherScientificTerm)"
We have conducted numerous simulations to verify the practical feasibility of our algorithm .,"[('algorithm', 'Generic')]"," simulation(Task), practical feasibility(OtherScientificTerm), 
"
We have applied it to real scenes that include transparent objects and recovered the shapes of the objects with high accuracy .,"[('it', 'Generic'), ('real scenes', 'Material'), ('transparent objects', 'OtherScientificTerm'), ('shapes of the objects', 'OtherScientificTerm'), ('accuracy', 'Metric')]"," transparent objects(OtherScientificTerm), shapes of objects(OtherScientificTerm), accuracy(OtherScientificTerm)"
We propose a novel probabilistic framework for learning visual models of 3D object categories by combining appearance information and geometric constraints .,"[('probabilistic framework', 'Method'), ('visual models of 3D object categories', 'Task'), ('appearance information', 'OtherScientificTerm'), ('geometric constraints', 'OtherScientificTerm')]"," appearance information(Method), geometric constraints(Method), 3D object categories(Task), visual models(Method), probabilistic framework(Method),"
Objects are represented as a coherent ensemble of parts that are consistent under 3D viewpoint transformations .,"[('3D viewpoint transformations', 'OtherScientificTerm')]"," coherent ensemble of parts(Method), 3D viewpoint transformations(Method), objects(Task),"
Each part is a collection of salient image features .,"[('salient image features', 'OtherScientificTerm')]"," salient image features(Generic), image features(Generic), 
"
A generative framework is used for learning a model that captures the relative position of parts within each of the discretized viewpoints .,"[('generative framework', 'Method'), ('model', 'Generic'), ('discretized viewpoints', 'OtherScientificTerm')]"," model(Method), capturing the relative position of parts within each of the discretized viewpoints(Task), relative position of parts within each of the discretized viewpoints(Method),
"
"Contrary to most of the existing mixture of viewpoints models , our model establishes explicit correspondences of parts across different viewpoints of the object class .","[('mixture of viewpoints models', 'Method'), ('model', 'Generic'), ('viewpoints', 'OtherScientificTerm')]"," viewpoints(Material), correspondences of parts(Generic), object class(Generic),"
"Given a new image , detection and classification are achieved by determining the position and viewpoint of the model that maximize recognition scores of the candidate objects .","[('image', 'Material'), ('detection', 'Task'), ('classification', 'Task'), ('position', 'OtherScientificTerm'), ('viewpoint', 'OtherScientificTerm'), ('recognition scores', 'Metric')]"," detection and classification(Task), position and viewpoint of the model(Method), candidate objects(OtherScientificTerm), recognition scores(OtherScientificTerm)"
Our approach is among the first to propose a generative proba-bilistic framework for 3D object categorization .,"[('approach', 'Generic'), ('generative proba-bilistic framework', 'Method'), ('3D object categorization', 'Task')]"," probabilistic framework(Method), 3D object categorization(Task), among the first(OtherScientificTerm)"
We test our algorithm on the detection task and the viewpoint classification task by using '' car '' category from both the Savarese et al. 2007 and PASCAL VOC 2006 datasets .,"[('algorithm', 'Generic'), ('detection task', 'Task'), ('viewpoint classification task', 'Task'), ('PASCAL VOC 2006 datasets', 'Material')]"," detection task(Task), viewpoint classification task(Task), '' car '' category(Generic), Savarese et al. 2007(Dataset), PASCAL VOC 2006(Dataset)"
We show promising results in both the detection and viewpoint classification tasks on these two challenging datasets .,"[('detection and viewpoint classification tasks', 'Task'), ('datasets', 'Generic')]"," Detection(Task), viewpoint classification(Task), promising results(OtherScientificTerm), two challenging datasets(OtherScientificTerm)"
We present an application of ambiguity packing and stochastic disambiguation techniques for Lexical-Functional Grammars -LRB- LFG -RRB- to the domain of sentence condensation .,"[('ambiguity packing and stochastic disambiguation techniques', 'Method'), ('Lexical-Functional Grammars -LRB- LFG -RRB-', 'Method'), ('sentence condensation', 'Task')]"," Lexical-Functional Grammar-LRB-LFG-RRB-(Method), sentence condensation(Task), ambiguity packing and stochastic disambiguation techniques(Method), "
"Our system incorporates a linguistic parser/generator for LFG , a transfer component for parse reduction operating on packed parse forests , and a maximum-entropy model for stochastic output selection .","[('system', 'Generic'), ('linguistic parser/generator', 'Method'), ('LFG', 'Method'), ('transfer component', 'Method'), ('parse reduction', 'Task'), ('packed parse forests', 'OtherScientificTerm'), ('maximum-entropy model', 'Method'), ('stochastic output selection', 'Task')]"," linguistic parser/generator(Method), transfer component(Method), maximum-entropy model(Method), packed parse forests(OtherScientificTerm), 
"
"Furthermore , we propose the use of standard parser evaluation methods for automatically evaluating the summarization quality of sentence condensation systems .","[('parser evaluation methods', 'Method'), ('summarization quality', 'Metric'), ('sentence condensation systems', 'Method')]"," sentence condensation systems(Method), parser evaluation methods(Method), 
"
An experimental evaluation of summarization quality shows a close correlation between the automatic parse-based evaluation and a manual evaluation of generated strings .,"[('summarization quality', 'Metric'), ('automatic parse-based evaluation', 'Method'), ('manual evaluation', 'Method')]"," automatic parse-based evaluation(Method), correlation(OtherScientificTerm), manual evaluation(Method), generated strings(OtherScientificTerm), 
"
"Overall summarization quality of the proposed system is state-of-the-art , with guaranteed grammaticality of the system output due to the use of a constraint-based parser/generator .","[('summarization quality', 'Metric'), ('system', 'Generic'), ('grammaticality', 'Metric'), ('constraint-based parser/generator', 'Method')]"," summarization quality(Generic), grammaticality(Generic), system output(Generic), constraint-based parser/generator(Method),"
"The robust principal component analysis -LRB- robust PCA -RRB- problem has been considered in many machine learning applications , where the goal is to decompose the data matrix to a low rank part plus a sparse residual .","[('robust principal component analysis -LRB- robust PCA -RRB- problem', 'Method'), ('machine learning applications', 'Task'), ('data matrix', 'OtherScientificTerm'), ('low rank part', 'OtherScientificTerm'), ('sparse residual', 'OtherScientificTerm')]"," robust principal component analysis(Method), decompose the data matrix(Task), low rank part(OtherScientificTerm), sparse residual(OtherScientificTerm)"
